Kalimat
Akhirnya sudah kebeli tiket ultimate coldplay. Can't wait in November 2023!! 
"Aku semua genre suka,,dr band Coldplay cuma lagu paradise, yellow aja yg lumayan aku suka,,,
,GK tahu aku lebih suka lagu2 genre yg bnyak instrumen Lead/Riff gitar ,gebukan drum skill/power, band rock heavy metal,hard rock,metalcore,band rock melodis , contoh Linkin Park,metalicca, Avenged Sevenfold,kalo lokal dewa,padi,Slank, aku suka band2 luar ,lokal dgn vocal yg nge-rock, Scream, power,,,, pendapat aku Coldplay band terbesar abad sekarang populer di kalayak umum,& mungkin banyak kaum cwe yg bnyk penggemar nya,,,,selera orang berbeda sih,,"
Jgn ada kerusuhan ....pokoknya gw nonton coldplay    band era 2000 an yg paling oke ....lirik lagu gw suka banget .
Mudah mudahan noah pembuka acara konser coldplay
Karena Indonesia dulu di remehkan  sekarang Indonesia jelas lah bisa menyeimbangkan ekonomi sama 🇪🇺
"padahal pakai stadion JIS pasti cocok nih, secara JIS udh dpt sertifikat green building level platinum"
Jadi inget dulu ada Nidji yg suaranya    bermirip mirip cara nyanyinya Coldplay 
Apapun alasan coldplay konser d indonesia hanya bahasa halus utk cari simpati. Kasihan musisi lokal.
"Ini band bukan sembarang band cuy, ini band alat politisi kerajaan inggris, kenapa coldplay slm ini tidak mau ke indonesia, karena politik inggris yang menyimpan dendam dengan indonesia.."
Akhirnya dapet juga tiketnya
"Karena dulu, Indonesia dianggap negara terbelakang. Namun, setelah jokowi datang di acara G20, terlibat peristiwa internasional seperti ngajak damai putin dan zelenski, ada peristiwanya pembatalan fifa sebagai tuan rumah, serta penenbakan polisi sambo yang membunuh bawahannya juga fisorot media. Kini, Indonesia  tidak dianggap sebelah mata oleh orang eropa. Karena, selain dari prestasi, kita juga terkenal akan kebarbaran penduduk kita"
"Wkwkw kbnyakan orang disni baru tau band ini trs nonton cuma ikut ikutan doang, klo gw sih dri 2009 udh suka ama musik2 mereka"
Mantap semoga sukses
"Yang benar itu tahun 2017 GDP percapita kita masih 3500....itu masih dianggap Coldplay nggak mampu beli tiket mereka.... Thailand saat itu 7000, dan singapura 40 k sedangkan Indonesia 2022 GDP percapita sudah 4800 jadi mereka coba kesini"
Band paling keren
Ramah lingkungan tp konsernya ga ramah buat dompet coldplace 
Alasannya promotor bingung nampung jumlah antusias penonton nya.
Ya allah kepengen nonton
Bw2 isu lingkungan berasa paling benar 
